iteration	time	f_value	arclength
3.230000000000000000e+02	6.887528977809469488e+00	1.792486802570256179e-05	9.388332263226416285e-02
3.250000000000000000e+02	7.380971400404809479e+00	2.203589894947677336e-06	9.523162981802589522e-02
3.260000000000000000e+02	7.640795288734606672e+00	1.432991629992006048e-05	9.600290727053951978e-02
3.270000000000000000e+02	7.909765460024288153e+00	7.660118504703863982e-06	9.656232554185285866e-02
3.280000000000000000e+02	8.188203880404500978e+00	1.648030514317055106e-06	9.768908717028536304e-02
3.290000000000000000e+02	8.476443849811120756e+00	2.242015032956818356e-06	9.898938381996949532e-02
3.310000000000000000e+02	9.083720712343382075e+00	7.777603646243253218e-06	1.006435064948470182e-01
3.320000000000000000e+02	9.403484535822450141e+00	8.778759460088006328e-06	1.011645065304714597e-01
3.330000000000000000e+02	9.734504639194279108e+00	7.227099573572660185e-06	1.016280836529676879e-01
3.340000000000000000e+02	1.007717726439659067e+01	7.974671104133238561e-06	1.020083675361132813e-01
3.350000000000000000e+02	1.043191260181853153e+01	1.516403770270035920e-06	1.027135018347078432e-01
3.370000000000000000e+02	1.117928488048752556e+01	4.356757493365894744e-06	1.043568495001276075e-01
3.380000000000000000e+02	1.157281645090323963e+01	3.340352736605325633e-06	1.052221559322719935e-01
3.390000000000000000e+02	1.198020106277638774e+01	1.039239990757447299e-06	1.063109384619648767e-01
3.400000000000000000e+02	1.240192636886994215e+01	1.866774303426421927e-06	1.074943845690663202e-01
3.410000000000000000e+02	1.283849718822888164e+01	4.102864775836315383e-06	1.083268906112892643e-01
3.430000000000000000e+02	1.375828412131528644e+01	2.146655872787312612e-06	1.096437770176326987e-01
3.440000000000000000e+02	1.424260125021652890e+01	1.770314191638690937e-06	1.106306218254520385e-01
3.450000000000000000e+02	1.474396724068213693e+01	3.176296141149393171e-06	1.113831745530891315e-01
3.460000000000000000e+02	1.526298224427246097e+01	2.475617425486355795e-06	1.119748079393918655e-01
