iteration	time	x1	x2	radius	f_value	arclength
2.140000000000000000e+02	1.586112142253079671e-01	3.616947772505876846e-02	1.954210374311134840e-02	4.111112912107923317e-02	1.677847753864579808e-02	3.857711476042494699e-03
2.150000000000000000e+02	1.641946232614777679e-01	3.591140763258598989e-02	1.950889487986479098e-02	4.086840072216393893e-02	1.649551480801026565e-02	4.117892384436253397e-03
2.170000000000000000e+02	1.759579992037507146e-01	3.534603544547399584e-02	1.943497817160442370e-02	4.033683921979316911e-02	1.588780313192969529e-02	4.688034716894403861e-03
2.180000000000000000e+02	1.821520472572824567e-01	3.503707211101159125e-02	1.939388921791089168e-02	4.004646502637688316e-02	1.556277752819439433e-02	4.999693295456163374e-03
2.200000000000000000e+02	1.952019447994806089e-01	3.436236692648453328e-02	1.930238214420336440e-02	3.941261495043457685e-02	1.487037649794083552e-02	5.680515495607381220e-03
2.210000000000000000e+02	2.020734154441926611e-01	3.399493232050668223e-02	1.925148523440323861e-02	3.906757104308221373e-02	1.450333125210500826e-02	6.051422276858300052e-03
2.230000000000000000e+02	2.165505372073316115e-01	3.319575348763491307e-02	1.913806069675958246e-02	3.831740357650397638e-02	1.372940515339526532e-02	6.858523626579831473e-03
2.240000000000000000e+02	2.241735179160809777e-01	3.276242759752009959e-02	1.907492950884592461e-02	3.791081109459659010e-02	1.332374854442178874e-02	7.296372361734491073e-03
2.260000000000000000e+02	2.402339547024263389e-01	3.182469103780542763e-02	1.893413211468789742e-02	3.703123436490105003e-02	1.247952154970697995e-02	8.244497780138469387e-03
2.270000000000000000e+02	2.486906356504388627e-01	3.131903772051992246e-02	1.885570242729257828e-02	3.655707370353864644e-02	1.204337417007242221e-02	8.756124395319805215e-03
2.290000000000000000e+02	2.665075493980970101e-01	3.023178604950096937e-02	1.868063067205219530e-02	3.553768211417872996e-02	1.115082042783919515e-02	9.857211134202676153e-03
2.300000000000000000e+02	2.758891096287819922e-01	2.964962523257748048e-02	1.858301981663405128e-02	3.499184050514789895e-02	1.069827852024104846e-02	1.044739767676606569e-02
2.320000000000000000e+02	2.956546004254816951e-01	2.840811576086858109e-02	1.836491617126749867e-02	3.382737333965781662e-02	9.792210346363114382e-03	1.170768964953897671e-02
2.330000000000000000e+02	3.060621909332747470e-01	2.774936478091029682e-02	1.824319155734481501e-02	3.320905424642505571e-02	9.344026102181157700e-03	1.237745734809311306e-02
2.350000000000000000e+02	3.279893682192831506e-01	2.635939682391344116e-02	1.797092218646319933e-02	3.190253665701919122e-02	8.472273768884595532e-03	1.379354269985812176e-02
2.360000000000000000e+02	3.395352025490162573e-01	2.563056663412942304e-02	1.781881156852586912e-02	3.121595732475907631e-02	8.055138660288273592e-03	1.453790337969665045e-02
2.380000000000000000e+02	3.638604828406821201e-01	2.411412368179938204e-02	1.747822912027519049e-02	2.978220029013896319e-02	7.274899901331964396e-03	1.609176153706323026e-02
2.390000000000000000e+02	3.766690469622065995e-01	2.333143451484526870e-02	1.728777612745082889e-02	2.903830297991554302e-02	6.918261448100061599e-03	1.689708148052146072e-02
2.410000000000000000e+02	4.036547028699399853e-01	2.173333949661469117e-02	1.686099652550093406e-02	2.750693093582173149e-02	6.286464570168348587e-03	1.855080236587978298e-02
2.420000000000000000e+02	4.178640973727454910e-01	2.092614571489654143e-02	1.662219479495922331e-02	2.672453805555210019e-02	6.015926461180438889e-03	1.939236226259606621e-02
